comparison_id,stat_key,budget_variant,experiment_id,test_name,n,mean,std,ci95_low,ci95_high,p_value,p_value_holm,effect_size,effect_size_name
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-RESI,R.paired_delta,fair,BTC-MAIN-ECLIPSE-low,one_sample_t,10,0.09462475327643691,0.013444642137556117,0.08500703567503194,0.10424247087784187,3.5300167326634205e-09,1.4120066930653682e-08,7.038101297773717,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-STAT,R.paired_delta,fair,BTC-MAIN-ECLIPSE-low,one_sample_t,10,0.10967625790705217,0.029814354101397718,0.0883483538035625,0.13100416201054182,1.0028517853974326e-06,1.0028517853974326e-06,3.678639407516478,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-ASIM,R.paired_delta,fair,BTC-MAIN-ECLIPSE-low,one_sample_t,10,0.12782739820069264,0.02494463438353811,0.10998308172751536,0.1456717146738699,5.756580985318159e-08,1.1513161970636318e-07,5.124444649509503,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-FPS,R.paired_delta,fair,BTC-MAIN-ECLIPSE-low,one_sample_t,10,0.17751457620840058,0.026634036563973965,0.1584617342184866,0.19656741819831455,5.715529831279115e-09,1.7146589493837343e-08,6.66495203541593,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-RESI,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.004220964415778139,0.004668199289516972,0.0008815358155748235,0.007560393015981454,0.03125,0.125,0.9041954196893105,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-STAT,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.0028125137115527776,0.002420641120629718,0.00108089136903374,0.0045441360540718154,0.03125,0.125,1.1618879343919912,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-ASIM,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.0037492869992540754,0.003695322651544701,0.0011058124206817454,0.006392761577826405,0.03125,0.125,1.014603419727589,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-FPS,lcc_ratio.paired_delta,fair,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.0060945109911807235,0.0058709377542761395,0.0018946951241353826,0.010294326858226064,0.03125,0.125,1.0380813502479638,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-RESI,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-low,wilcoxon,10,-0.9247468780791981,0.05711296980520399,-0.9656030354498448,-0.8838907207085513,0.001953125,0.001953125,-16.19153900126793,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-STAT,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-low,one_sample_t,10,-0.9763389869264711,0.05179978366134197,-1.0133943198963986,-0.9392836539565438,5.307883117028835e-13,2.123153246811534e-12,-18.848321709403397,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-ASIM,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-low,one_sample_t,10,-1.210530015798332,0.07239159645329984,-1.2623158442554416,-1.1587441873412225,1.554443163045674e-12,4.6633294891370225e-12,-16.721968779611743,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-FPS,avg_path_len.paired_delta,fair,BTC-MAIN-ECLIPSE-low,one_sample_t,10,-2.2431439191569167,0.31590083112698936,-2.4691257603054813,-2.017162078008352,3.26344696709294e-09,6.52689393418588e-09,-7.10078511396886,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-RESI,R.paired_delta,raw,BTC-MAIN-ECLIPSE-low,one_sample_t,10,0.09462475327643691,0.013444642137556117,0.08500703567503194,0.10424247087784187,3.5300167326634205e-09,1.4120066930653682e-08,7.038101297773717,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-STAT,R.paired_delta,raw,BTC-MAIN-ECLIPSE-low,one_sample_t,10,0.10967625790705217,0.029814354101397718,0.0883483538035625,0.13100416201054182,1.0028517853974326e-06,2.005703570794865e-06,3.678639407516478,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-ASIM,R.paired_delta,raw,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.1356504332951594,0.021067399998632868,0.12057972321529102,0.1507211433750278,0.001953125,0.001953125,6.438878708524175,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-FPS,R.paired_delta,raw,BTC-MAIN-ECLIPSE-low,one_sample_t,10,0.17751457620840058,0.026634036563973965,0.1584617342184866,0.19656741819831455,5.715529831279115e-09,1.7146589493837343e-08,6.66495203541593,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-RESI,lcc_ratio.paired_delta,raw,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.004220964415778139,0.004668199289516972,0.0008815358155748235,0.007560393015981454,0.03125,0.125,0.9041954196893105,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-STAT,lcc_ratio.paired_delta,raw,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.0028125137115527776,0.002420641120629718,0.00108089136903374,0.0045441360540718154,0.03125,0.125,1.1618879343919912,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-ASIM,lcc_ratio.paired_delta,raw,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.0037492869992540754,0.003695322651544701,0.0011058124206817454,0.006392761577826405,0.03125,0.125,1.014603419727589,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-FPS,lcc_ratio.paired_delta,raw,BTC-MAIN-ECLIPSE-low,wilcoxon,10,0.0060945109911807235,0.0058709377542761395,0.0018946951241353826,0.010294326858226064,0.03125,0.125,1.0380813502479638,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-RESI,avg_path_len.paired_delta,raw,BTC-MAIN-ECLIPSE-low,wilcoxon,10,-0.9247468780791981,0.05711296980520399,-0.9656030354498448,-0.8838907207085513,0.001953125,0.001953125,-16.19153900126793,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-STAT,avg_path_len.paired_delta,raw,BTC-MAIN-ECLIPSE-low,one_sample_t,10,-0.9763389869264711,0.05179978366134197,-1.0133943198963986,-0.9392836539565438,5.307883117028835e-13,2.123153246811534e-12,-18.848321709403397,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-ASIM,avg_path_len.paired_delta,raw,BTC-MAIN-ECLIPSE-low,one_sample_t,10,-1.2956785130475827,0.08642157349993171,-1.3575007824756102,-1.2338562436195553,4.138999132744603e-12,1.241699739823381e-11,-14.992535550728043,cohens_dz
CMP-BTC-MAIN-ECLIPSE-low-OUR-M-FPS,avg_path_len.paired_delta,raw,BTC-MAIN-ECLIPSE-low,one_sample_t,10,-2.2431439191569167,0.31590083112698936,-2.4691257603054813,-2.017162078008352,3.26344696709294e-09,6.52689393418588e-09,-7.10078511396886,cohens_dz
